row_id,model_id,disk_id,tp,pp,dp,dp_mode,dtype,hardware,length_config,status,best_batch_size,throughput,ttft_ms,tpot_ms,error,build_number,build_url,server_log,client_log
AMead10/Llama-3.2-1B-Instruct-AWQ__tp1_pp1_dp6,AMead10/Llama-3.2-1B-Instruct-AWQ,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,334,7191.72,4941.2,41.26,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_AMead10_Llama-3.2-1B-Instruct-AWQ__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_AMead10_Llama-3.2-1B-Instruct-AWQ__tp1_pp1_dp6_Length-1024_1024.log
AMead10/Llama-3.2-3B-Instruct-AWQ__tp1_pp1_dp6,AMead10/Llama-3.2-3B-Instruct-AWQ,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,90,864.6,4530.74,99.29,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_AMead10_Llama-3.2-3B-Instruct-AWQ__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_AMead10_Llama-3.2-3B-Instruct-AWQ__tp1_pp1_dp6_Length-1024_1024.log
Qwen/QwQ-32B-AWQ__tp2_pp1_dp2,Qwen/QwQ-32B-AWQ,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,SLA_NOT_MET,1,7.18,1523.44,137.84,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_QwQ-32B-AWQ__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_QwQ-32B-AWQ__tp2_pp1_dp2_Length-1024_1024.log
Qwen/QwQ-32B__tp2_pp1_dp2,Qwen/QwQ-32B,1,2,1,2,router_dp,bfloat16,gnr,1024/1024,SLA_NOT_MET,1,6.49,1431.2,152.8,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_QwQ-32B__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_QwQ-32B__tp2_pp1_dp2_Length-1024_1024.log
Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4__tp1_pp1_dp6,Qwen/Qwen1.5-0.5B-Chat-GPTQ-Int4,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,365,5346.7,2752.04,64.84,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen1.5-0.5B-Chat-GPTQ-Int4__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen1.5-0.5B-Chat-GPTQ-Int4__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen2.5-VL-7B-Instruct__tp1_pp1_dp6,Qwen/Qwen2.5-VL-7B-Instruct,1,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,50,478.82,3460.64,99.6,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen2.5-VL-7B-Instruct__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen2.5-VL-7B-Instruct__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen3-1.7B__tp1_pp1_dp6,Qwen/Qwen3-1.7B,1,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,330,3530.17,4956.96,85.89,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-1.7B__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-1.7B__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen3-14B-AWQ__tp2_pp1_dp2,Qwen/Qwen3-14B-AWQ,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,14,135.68,3912.04,99.01,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-14B-AWQ__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-14B-AWQ__tp2_pp1_dp2_Length-1024_1024.log
Qwen/Qwen3-14B__tp2_pp1_dp2,Qwen/Qwen3-14B,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,11,106.38,2594.9,97.88,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-14B__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-14B__tp2_pp1_dp2_Length-1024_1024.log
Qwen/Qwen3-235B-A22B__tp4_pp1_dp1,Qwen/Qwen3-235B-A22B,1,4,1,1,none,bfloat16,gnr,1024/1024,PASS,1,11.56,1193.02,85.46,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-235B-A22B__tp4_pp1_dp1.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-235B-A22B__tp4_pp1_dp1_Length-1024_1024.log
Qwen/Qwen3-30B-A3B__tp2_pp1_dp2,Qwen/Qwen3-30B-A3B,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,50,478.07,4004.42,98.58,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-30B-A3B__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-30B-A3B__tp2_pp1_dp2_Length-1024_1024.log
Qwen/Qwen3-4B__tp1_pp1_dp6,Qwen/Qwen3-4B,1,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,103,1213.61,4759.7,76.31,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-4B__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-4B__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen3-8B__tp1_pp1_dp6,Qwen/Qwen3-8B,1,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,41,421.16,4830.88,89.52,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-8B__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-8B__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen3-VL-30B-A3B-Instruct__tp2_pp1_dp2,Qwen/Qwen3-VL-30B-A3B-Instruct,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,18,170.07,2427.9,99.6,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-VL-30B-A3B-Instruct__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-VL-30B-A3B-Instruct__tp2_pp1_dp2_Length-1024_1024.log
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8__tp2_pp1_dp2,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,SLA_NOT_MET,1,5.68,2855.47,173.51,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_DeepSeek-R1-Distill-Llama-70B-quantized.w8a8__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_DeepSeek-R1-Distill-Llama-70B-quantized.w8a8__tp2_pp1_dp2_Length-1024_1024.log
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,360,8207.82,3236.49,39.25,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Llama-3.2-1B-Instruct-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Llama-3.2-1B-Instruct-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,114,1118.08,3250.3,97.82,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Llama-3.2-3B-Instruct-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Llama-3.2-3B-Instruct-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,66,904.69,4717.72,63.11,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Meta-Llama-3.1-8B-Instruct-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Meta-Llama-3.1-8B-Instruct-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,68,916.51,4991.05,63.18,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Meta-Llama-3.1-8B-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Meta-Llama-3.1-8B-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/QwQ-32B-quantized.w8a8__tp2_pp1_dp2,RedHatAI/QwQ-32B-quantized.w8a8,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,2,21.6,1037.31,90.69,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_QwQ-32B-quantized.w8a8__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_QwQ-32B-quantized.w8a8__tp2_pp1_dp2_Length-1024_1024.log
